"","X","Title","Author","Subject","Abstract","Meta"
"77",77,"high-fidelity slam using gaussian splatting with rendering-guided densification and regularized optimization","shuo sun, malcolm mielle, achim j. lilienthal, martin magnusson","robotics (cs.ro)","we propose a dense rgbd slam system based on d gaussian splatting that provides metrically accurate pose tracking and visually realistic reconstruction. to this end, we first propose a gaussian densification strategy based on the rendering loss to map unobserved areas and refine reobserved areas. second, we introduce extra regularization parameters to alleviate the forgetting problem in the continuous mapping problem, where parameters tend to overfit the latest frame and result in decreasing rendering quality for previous frames. both mapping and tracking are performed with gaussian parameters by minimizing re-rendering loss in a differentiable way. compared to recent neural and concurrently developed gaussian splatting rgbd slam baselines, our method achieves state-of-the-art results on the synthetic dataset replica and competitive results on the real-world dataset tum.",2024-03-19
"78",78,"multi-mode fault diagnosis datasets of gearbox under variable working conditions","shijin chen, zeyi liu, xiao he, dongliang zou, donghua zhou","systems and control (eess.sy)","the gearbox is a critical component of electromechanical systems. the occurrence of multiple faults can significantly impact system accuracy and service life. the vibration signal of the gearbox is an effective indicator of its operational status and fault information. however, gearboxes in real industrial settings often operate under variable working conditions, such as varying speeds and loads. it is a significant and challenging research area to complete the gearbox fault diagnosis procedure under varying operating conditions using vibration signals. this data article presents vibration datasets collected from a gearbox exhibiting various fault degrees of severity and fault types, operating under diverse speed and load conditions. these faults are manually implanted into the gears or bearings through precise machining processes, which include health, missing teeth, wear, pitting, root cracks, and broken teeth. several kinds of actual compound faults are also encompassed. the development of these datasets facilitates testing the effectiveness and reliability of newly developed fault diagnosis methods.",2024-03-19
"79",79,"solving vibrational hamiltonians with neural canonical transformations","qi zhang, rui-si wang, lei wang","chemical physics (physics.chem-ph)","the behavior of polyatomic molecules around their equilibrium positions can be regarded as quantum coupled anharmonic oscillators. solving the corresponding schrödinger equations can interpret or predict experimental spectra of molecules. in this study, we develop a novel approach to solve excited states of anharmonic vibrational systems. the normal coordinates of molecules are transformed into new coordinates through a normalizing flow parameterized by a neural network, facilitating the construction of a set of orthogonal many-body variational wavefunctions. our methodology has been validated on an exactly solvable $$-dimensional coupled harmonic oscillator, yielding numerical results with a relative error on the order of $^{-}$. furthermore, the neural canonical transformations are also applied to calculate the energy levels of two specific molecules, acetonitrile ($\text{c}\text{h}_\text{cn}$) and ethylene oxide ($\text{c}_\text{h}_\text{o}$) involving $$ and $$ vibrational modes respectively, which are in agreement with experimental findings. one of the key advantages of our approach is its flexibility concerning the potential energy surface, requiring no specific form for its application. moreover, this method can be easily implemented on large-scale distributed computing platforms, making it particularly suitable for investigating more complex vibrational structures.",2024-03-19
"80",80,"topological representations of heterogeneous learning dynamics of recurrent spiking neural networks","biswadeep chakraborty, saibal mukhopadhyay","neural and evolutionary computing (cs.ne)","spiking neural networks (snns) have become an essential paradigm in neuroscience and artificial intelligence, providing brain-inspired computation. recent advances in literature have studied the network representations of deep neural networks. however, there has been little work that studies representations learned by snns, especially using unsupervised local learning methods like spike-timing dependent plasticity (stdp). recent work by \cite{barannikovrepresentation} has introduced a novel method to compare topological mappings of learned representations called representation topology divergence (rtd). though useful, this method is engineered particularly for feedforward deep neural networks and cannot be used for recurrent networks like recurrent snns (rsnns). this paper introduces a novel methodology to use rtd to measure the difference between distributed representations of rsnn models with different learning methods. we propose a novel reformulation of rsnns using feedforward autoencoder networks with skip connections to help us compute the rtd for recurrent networks. thus, we investigate the learning capabilities of rsnn trained using stdp and the role of heterogeneity in the synaptic dynamics in learning such representations. we demonstrate that heterogeneous stdp in rsnns yield distinct representations than their homogeneous and surrogate gradient-based supervised learning counterparts. our results provide insights into the potential of heterogeneous snn models, aiding the development of more efficient and biologically plausible hybrid artificial intelligence systems.",2024-03-19
"81",81,"development of low-radon ultra-pure water for the jiangmen underground neutrino observatory","t.y. guan, y.p. zhang, b. wang, c. guo, j.c. liu, q. tang, c.g. yang, c. li","instrumentation and detectors (physics.ins-det)","the jiangmen underground neutrino observatory(juno) is a state-of-the-art liquid scintillator-based neutrino physics experiment under construction in south china. to reduce the background from external radioactivities, a water cherenkov detector composed of ~kton ultra-pure water and , -inch photomultiplier tubes is developed. even after specialized treatment, ultra-pure water still contains trace levels of radioactive elements that can contribute to the detector background. among which $^{}$rn is particularly significant. to address this, an online radon removal system based on the juno prototype has been developed. by integrating micro-bubble generators to enhance degasser's radon removal efficiency, the radon concentration in water can be reduced to ~mbq/m$^{}$ level, meeting the stringent requirements of juno. additionally, a highly sensitive online radon concentration measurement system capable of detecting concentrations $\sim$~mbq/m$^$ has been developed to monitor the radon concentration in water. in this paper, the details regarding both systems will be presented.",2024-03-19
"82",82,"third-party language model performance prediction from instruction","rahul nadkarni, yizhong wang, noah a. smith","computation and language (cs.cl)","language model-based instruction-following systems have lately shown increasing performance on many benchmark tasks, demonstrating the capability of adapting to a broad variety of instructions. however, such systems are often not designed to be transparent about their limitations; a user may easily prompt a model with an instruction without any idea of whether the responses should be expected to be accurate, or if the system is even capable of performing the task. we propose a third party performance prediction framework, where a separate model is trained to predict the metric resulting from evaluating an instruction-following system on a task while assuming access only to its inputs and outputs at inference time. we perform this analysis with a variety of both open and closed instruction-following models as well as multiple performance predictors, and examine the effect of various factors such as model size, number of training tasks, and prompt format. our findings indicate that third-party performance prediction is very challenging, and much work remains in developing predictors that can automatically reveal the limitations of modern instruction-following natural language processing systems.",2024-03-19
"83",83,"programmablegrass: a shape-changing artificial grass display adapted for dynamic and interactive display features","kojiro tanaka, akito mizuno, toranosuke kato, masahiko mikawa, makoto fujisawa","graphics (cs.gr)","there are various proposals for employing grass materials as a green landscape-friendly display. however, it is difficult for current techniques to display smooth animations using -bit images and to adjust display resolution, similar to conventional displays. we present programmablegrass, an artificial grass display with scalable resolution, capable of swiftly controlling grass color at -bit levels. this grass display can control grass colors linearly at the -bit level, similar to an lcd display, and can also display not only -bit-based images but also videos. this display enables pixel-by-pixel color transitions from yellow to green using fixed-length yellow and adjustable-length green grass. we designed a grass module that can be connected to other modules. utilizing a proportional derivative control, the grass colors are manipulated to display animations at approximately  [fps]. since the relationship between grass lengths and colors is nonlinear, we developed a calibration system for programmablegrass. we revealed that this calibration system allows programmablegrass to linearly control grass colors at -bit levels through experiments under multiple conditions. lastly, we demonstrate programmablegrass to show smooth animations with -bit grayscale images. moreover, we show several application examples to illustrate the potential of programmablegrass. with the advancement of this technology, users will be able to treat grass as a green-based interactive display device.",2024-03-19
"84",84,"characteristic ai agents via large language models","xi wang, hongliang dai, shen gao, piji li","computation and language (cs.cl)","the advancement of large language models (llms) has led to significant enhancements in the performance of chatbot systems. many researchers have dedicated their efforts to the development of bringing characteristics to chatbots. while there have been commercial products for developing role-driven chatbots using llms, it is worth noting that academic research in this area remains relatively scarce. our research focuses on investigating the performance of llms in constructing characteristic ai agents by simulating real-life individuals across different settings. current investigations have primarily focused on act on roles with simple profiles. in response to this research gap, we create a benchmark for the characteristic ai agents task, including dataset, techniques, and evaluation metrics. a dataset called ``character'' is built for this benchmark, comprising the most-visited people on wikipedia for language models to role-play. with the constructed dataset, we conduct comprehensive assessment of llms across various settings. in addition, we devise a set of automatic metrics for quantitative performance evaluation. the experimental results underscore the potential directions for further improvement in the capabilities of llms in constructing characteristic ai agents. the benchmark is available at this https url.",2024-03-19
"85",85,"tangent space generators of matrix product states and exact floquet quantum scars","marko ljubotina, elena petrova, norbert schuch, maksym serbyn","quantum physics (quant-ph)","the advancement of quantum simulators motivates the development of a theoretical framework to assist with efficient state preparation in quantum many-body systems. generally, preparing a target entangled state via unitary evolution with time-dependent couplings is a challenging task and very little is known about the existence of solutions and their properties. in this work we develop a constructive approach for preparing matrix product states (mps) via continuous unitary evolution. we provide an explicit construction of the operator which exactly implements the evolution of a given mps along a specified direction in its tangent space. this operator can be written as a sum of local terms of finite range, yet it is in general non-hermitian. relying on the explicit construction of the non-hermitian generator of the dynamics, we demonstrate the existence of a hermitian sequence of operators that implements the desired mps evolution with the error which decreases exponentially with the operator range. the construction is benchmarked on an explicit periodic trajectory in a translationally invariant mps manifold. we demonstrate that the floquet unitary generating the dynamics over one period of the trajectory features an approximate mps-like eigenstate embedded among a sea of thermalizing eigenstates. these results show that our construction is useful not only for state preparation and control of many-body systems, but also provides a generic route towards floquet scars -- periodically driven models with quasi-local generators of dynamics that have exact mps eigenstates in their spectrum.",2024-03-18
"86",86,"quantifying the efficiency of principal signal transmission modes in proteins","anil kumar sahoo, richard schwarzl, markus s. miettinen, roland r. netz","soft condensed matter (cond-mat.soft)","on the microscopic level, biological signal transmission relies on coordinated structural changes in allosteric proteins that involve sensor and effector modules. the timescales and microscopic details of signal transmission in proteins are often unclear, despite a plethora of structural information on signaling proteins. based on linear-response theory, we develop a theoretical framework to define frequency-dependent force and displacement transmit functions through proteins and, more generally, viscoelastic media. transmit functions quantify the fraction of a local time-dependent perturbation at one site, be it a deformation, a force, or a combination thereof, that survives at a second site. they are defined in terms of equilibrium fluctuations from simulations or experimental observations. we apply the framework to our all-atom molecular dynamics simulation data of a parallel, homodimeric coiled-coil (cc) motif that connects sensor and effector modules of a blue-light-regulated histidine kinase from bacterial signaling systems extensively studied in experiments. our analysis reveals that signal transmission through the cc is possible via shift, splay, and twist deformation modes. based on the results of mutation experiments, we infer that the most relevant mode for the biological function of the histidine kinase protein is the splay deformation.",2024-03-18
"87",87,"bayesian analysis of verbal autopsy data using factor models with age- and sex-dependent associations between symptoms","tsuyoshi kunihama, zehang richard li, samuel j. clark, tyler h. mccormick","applications (stat.ap)","verbal autopsies (vas) are extensively used to investigate the population-level distributions of deaths by cause in low-resource settings without well-organized vital statistics systems. computer-based methods are often adopted to assign causes of death to deceased individuals based on the interview responses of their family members or caregivers. in this article, we develop a new bayesian approach that extracts information about cause-of-death distributions from va data considering the age- and sex-related variation in the associations between symptoms. its performance is compared with that of existing approaches using gold-standard data from the population health metrics research consortium. in addition, we compute the relevance of predictors to causes of death based on information-theoretic measures.",2024-03-18
"88",88,"mesoscale molecular simulations of fabry-pérot vibrational strong coupling","tao e. li","chemical physics (physics.chem-ph)","developing theoretical frameworks for vibrational strong coupling (vsc) beyond the single-mode approximation is crucial for a comprehensive understanding of experiments with planar fabry-pérot cavities. herein, a generalized cavity molecular dynamics (cavmd) scheme is developed to simulate vsc of a large ensemble of realistic molecules coupled to an arbitrary d or d photonic environment. this approach is built upon the power-zienau-woolley hamiltonian in the normal mode basis and uses a grid representation of the molecular ensembles to reduce the computational cost. when simulating the polariton dispersion relation for a homogeneous distribution of molecules in planar fabry-pérot cavities, our data highlight the importance of preserving the in-plane translational symmetry of the molecular distribution. in this homogeneous limit, cavmd yields the consistent polariton dispersion relation as analytic theory, i.e., incorporating many cavity modes with varying in-plane wave vectors ($k_{\parallel}$) produces the same spectrum as the system with a single cavity mode. furthermore, cavmd reveals that the validity of the single mode approximation is challenged when nonequilibrium polariton dynamics are considered, as polariton-polariton scattering occurs between modes with nearest neighbor $k_{\parallel}$. looking forward, our generalized cavmd approach may facilitate understanding vibrational polariton transport and condensation.",2024-03-18
"89",89,"rayleigh taylor instability in multiple finite-thickness fluid layers","prashant sharma","fluid dynamics (physics.flu-dyn)","we develop a general transfer-matrix formalism for determining the growth rate of the rayleigh-taylor instability in a fluid system with spatially varying density and viscosity. we use this formalism to analytically and numerically treat the case of a stratified heterogeneous fluid. we introduce the inviscid-flow approximation in our transfer-matrix formalism to find analytic solutions in the limit of uniform kinematic viscosity for a stratified heterogeneous fluid. we discuss the applicability of these results and the no-acceleration approximation that also yields analytical solutions in the large viscosity limit.",2024-03-18
"90",90,"empirical analysis on ci/cd pipeline evolution in machine learning projects","alaa houerbi, chadha siala, alexis tucker, dhia elhaq rzig, foyzul hassan","software engineering (cs.se)","the growing popularity of machine learning (ml) and the integration of ml components with other software artifacts has led to the use of continuous integration and delivery (ci/cd) tools, such as travis ci, github actions, etc. that enable faster integration and testing for ml projects. such ci/cd configurations and services require synchronization during the life cycle of the projects. several works discussed how ci/cd configuration and services change during their usage in traditional software systems. however, there is very limited knowledge of how ci/cd configuration and services change in ml projects.
to fill this knowledge gap, this work presents the first empirical analysis of how ci/cd configuration evolves for ml software systems. we manually analyzed  commits collected from  open-source ml projects to identify common ci/cd configuration change categories in ml projects and devised a taxonomy of  co-changes in ci/cd and ml components. moreover, we developed a ci/cd configuration change clustering tool that identified frequent ci/cd configuration change patterns in , commits. furthermore, we measured the expertise of ml developers who modify ci/cd configurations. based on this analysis, we found that .% of commits include a change to the build policy and minimal changes related to performance and maintainability compared to general open-source projects. additionally, the co-evolution analysis identified that ci/cd configurations, in many cases, changed unnecessarily due to bad practices such as the direct inclusion of dependencies and a lack of usage of standardized testing frameworks. more practices were found through the change patterns analysis consisting of using deprecated settings and reliance on a generic build language. finally, our developer's expertise analysis suggests that experienced developers are more inclined to modify ci/cd configurations.",2024-03-18
"91",91,"fast flavor conversions at the edge of instability","damiano f. g. fiorillo, georg raffelt","high energy physics - phenomenology (hep-ph)","a dense neutrino gas exhibiting angular crossings in the electron lepton number is unstable and develops fast flavor conversions. instead of assuming an unstable configuration from the onset, we imagine that the system is externally driven toward instability. we use the simplest model of two neutrino beams initially of different flavor that either suddenly appear or one or both slowly build up. flavor conversions commence well before the putative unstable state is fully attained, and the final outcome depends on how the system is driven. our results suggest that in an astrophysical setting, one should focus less on flavor instabilities in the neutrino radiation field and more on the external dynamics that leads to the formation of the unstable state.",2024-03-18
"92",92,"recovery of hades drift chambers suffering from malter-like effects","christian wendisch, christian muentz, luis lopes, erwin schwab, joachim stroth","instrumentation and detectors (physics.ins-det)","the central tracking system of the hades detector, installed at the sis- synchrotron at gsi/darmstadt (germany), employs large-area, low-mass drift chambers, featuring aluminum potential wires and small cell sizes. the chambers in front of the magnetic field, closest to the interaction point, have developed significant self-sustained currents and discharges during operation, most probably triggered by isobutane-based gas mixtures. only both, (i) replacing isobutane by co and (ii) adding  to  ppmv of water into the ar/co counting gas mixture, individually optimized for a given chamber, allowed to recover the chambers, enabling stable operation in several production runs since then, e.g. with high-intensity heavy-ion induced reactions. the origin of the instability was found to be deposits on the cathode wires, provoking the malter-like effects, by visual inspection and energy-dispersive x-ray spectroscopy. the charge on the wires accumulated during their lifetime does not point to so-called classical aging, but presumably the interaction of isobutane with materials in the gas flow, residual impurities, and reaction products formed in plasma, e.g., built by discharges.",2024-03-18
"93",93,"safety analysis of autonomous railway systems: an introduction to the sacred methodology","josh hunter, john mcdermid, simon burton","software engineering (cs.se)","as the railway industry increasingly seeks to introduce autonomy and machine learning (ml), several questions arise. how can safety be assured for such systems and technologies? what is the applicability of current safety standards within this new technological landscape? what are the key metrics to classify a system as safe? currently, safety analysis for the railway reflects the failure modes of existing technology; in contrast, the primary concern of analysis of automation is typically average performance. such purely statistical approaches to measuring ml performance are limited, as they may overlook classes of situations that may occur rarely but in which the function performs consistently poorly. to combat these difficulties we introduce sacred, a safety methodology for producing an initial safety case and determining important safety metrics for autonomous systems. the development of sacred is motivated by the proposed goa- light-rail system in berlin.",2024-03-18
"94",94,"a gnn approach for cell-free massive mimo","lou salaun, hong yang, shashwat mishra, chung shue chen","signal processing (eess.sp)","beyond g wireless technology cell-free massive mimo (cfmmimo) downlink relies on carefully designed precoders and power control to attain uniformly high rate coverage. many such power control problems can be calculated via second order cone programming (socp). in practice, several order of magnitude faster numerical procedure is required because power control has to be rapidly updated to adapt to changing channel conditions. we propose a graph neural network (gnn) based solution to replace socp. specifically, we develop a gnn to obtain downlink max-min power control for a cfmmimo with maximum ratio transmission (mrt) beamforming. we construct a graph representation of the problem that properly captures the dominant dependence relationship between access points (aps) and user equipments (ues). we exploit a symmetry property, called permutation equivariance, to attain training simplicity and efficiency. simulation results show the superiority of our approach in terms of computational complexity, scalability and generalizability for different system sizes and deployment scenarios.",2024-02-08
"95",95,"haze removal via regional saturation-value translation and soft segmentation","le-anh tran, dong-chul park","computer vision and pattern recognition (cs.cv)","this paper proposes a single image dehazing prior, called regional saturation-value translation (rsvt), to tackle the color distortion problems caused by conventional dehazing approaches in bright regions. the rsvt prior is developed based on two key observations regarding the relationship between hazy and haze-free points in the hsv color space. first, the hue component shows marginal variation between corresponding hazy and haze-free points, consolidating a hypothesis that the pixel value variability induced by haze primarily occurs in the saturation and value spaces. second, in the d saturation-value coordinate system, most lines passing through hazy-clean point pairs are likely to intersect near the atmospheric light coordinates. accordingly, haze removal for the bright regions can be performed by properly translating saturation-value coordinates. in addition, an effective soft segmentation method based on a morphological min-max channel is introduced. by combining the soft segmentation mask with the rsvt prior, a comprehensive single image dehazing framework is devised. experimental results on various synthetic and realistic hazy image datasets demonstrate that the proposed scheme successfully addresses color distortion issues and restores visually appealing images. the code of this work is available at this https url.",2024-01-07
"96",96,"routerbench: a benchmark for multi-llm routing system","qitian jason hu, jacob bieker, xiuyu li, nan jiang, benjamin keigwin, gaurav ranganath, kurt keutzer, shriyash kaustubh upadhyay","machine learning (cs.lg)","as the range of applications for large language models (llms) continues to grow, the demand for effective serving solutions becomes increasingly critical. despite the versatility of llms, no single model can optimally address all tasks and applications, particularly when balancing performance with cost. this limitation has led to the development of llm routing systems, which combine the strengths of various models to overcome the constraints of individual llms. yet, the absence of a standardized benchmark for evaluating the performance of llm routers hinders progress in this area. to bridge this gap, we present routerbench, a novel evaluation framework designed to systematically assess the efficacy of llm routing systems, along with a comprehensive dataset comprising over k inference outcomes from representative llms to support the development of routing strategies. we further propose a theoretical framework for llm routing, and deliver a comparative analysis of various routing approaches through routerbench, highlighting their potentials and limitations within our evaluation framework. this work not only formalizes and advances the development of llm routing systems but also sets a standard for their assessment, paving the way for more accessible and economically viable llm deployments. the code and data are available at this https url.",2024-03-18
"97",97,"align and distill: unifying and improving domain adaptive object detection","justin kay, timm haucke, suzanne stathatos, siqi deng, erik young, pietro perona, sara beery, grant van horn","computer vision and pattern recognition (cs.cv)","object detectors often perform poorly on data that differs from their training set. domain adaptive object detection (daod) methods have recently demonstrated strong results on addressing this challenge. unfortunately, we identify systemic benchmarking pitfalls that call past results into question and hamper further progress: (a) overestimation of performance due to underpowered baselines, (b) inconsistent implementation practices preventing transparent comparisons of methods, and (c) lack of generality due to outdated backbones and lack of diversity in benchmarks. we address these problems by introducing: () a unified benchmarking and implementation framework, align and distill (aldi), enabling comparison of daod methods and supporting future development, () a fair and modern training and evaluation protocol for daod that addresses benchmarking pitfalls, () a new daod benchmark dataset, cfc-daod, enabling evaluation on diverse real-world data, and () a new method, aldi++, that achieves state-of-the-art results by a large margin. aldi++ outperforms the previous state-of-the-art by +. ap on cityscapes to foggy cityscapes, +. ap on simk to cityscapes (where ours is the only method to outperform a fair baseline), and +. ap on cfc kenai to channel. our framework, dataset, and state-of-the-art method offer a critical reset for daod and provide a strong foundation for future research. code and data are available: this https url and this https url.",2024-03-18
"98",98,"a toolbox for surfacing health equity harms and biases in large language models","stephen r. pfohl, heather cole-lewis, rory sayres, darlene neal, mercy asiedu, awa dieng, nenad tomasev, qazi mamunur rashid, shekoofeh azizi, negar rostamzadeh, liam g. mccoy, leo anthony celi, yun liu, mike schaekermann, alanna walton, alicia parrish, chirag nagpal, preeti singh, akeiylah dewitt, philip mansfield, sushant prakash, katherine heller, alan karthikesalingam, christopher semturs, joelle barral, greg corrado, yossi matias, jamila smith-loud, ivor horn, karan singhal","computers and society (cs.cy)","large language models (llms) hold immense promise to serve complex health information needs but also have the potential to introduce harm and exacerbate health disparities. reliably evaluating equity-related model failures is a critical step toward developing systems that promote health equity. in this work, we present resources and methodologies for surfacing biases with potential to precipitate equity-related harms in long-form, llm-generated answers to medical questions and then conduct an empirical case study with med-palm , resulting in the largest human evaluation study in this area to date. our contributions include a multifactorial framework for human assessment of llm-generated answers for biases, and equitymedqa, a collection of seven newly-released datasets comprising both manually-curated and llm-generated questions enriched for adversarial queries. both our human assessment framework and dataset design process are grounded in an iterative participatory approach and review of possible biases in med-palm  answers to adversarial queries. through our empirical study, we find that the use of a collection of datasets curated through a variety of methodologies, coupled with a thorough evaluation protocol that leverages multiple assessment rubric designs and diverse rater groups, surfaces biases that may be missed via narrower evaluation approaches. our experience underscores the importance of using diverse assessment methodologies and involving raters of varying backgrounds and expertise. we emphasize that while our framework can identify specific forms of bias, it is not sufficient to holistically assess whether the deployment of an ai system promotes equitable health outcomes. we hope the broader community leverages and builds on these tools and methods towards realizing a shared goal of llms that promote accessible and equitable healthcare for all.",2024-03-18
"99",99,"enhancing hokkien dual translation by exploring and standardizing of four writing systems","bo-han lu, yi-hsuan lin, en-shiun annie lee, richard tzong-han tsai","computation and language (cs.cl)","machine translation focuses mainly on high-resource languages (hrls), while low-resource languages (lrls) like taiwanese hokkien are relatively under-explored. this study aims to address this gap by developing a dual translation model between taiwanese hokkien and both traditional mandarin chinese and english. we employ a pre-trained llama-b model specialized in traditional mandarin chinese to leverage the orthographic similarities between taiwanese hokkien han and traditional mandarin chinese. our comprehensive experiments involve translation tasks across various writing systems of taiwanese hokkien and between taiwanese hokkien and other hrls. we find that the use of a limited monolingual corpus also further improve the model's taiwanese hokkien capabilities. we then utilize our translation model to standardize all taiwanese hokkien writing systems into hokkien han, resulting in further performance improvements. additionally, we introduce an evaluation method incorporating back-translation and gpt- to ensure reliable translation quality assessment even for lrls. the study contributes to narrowing the resource gap for taiwanese hokkien and empirically investigates the advantages and limitations of pre-training and fine-tuning based on llama .",2024-03-18
"100",100,"aligning learning with communication in shared autonomy","joshua hoegerman, shahabedin sagheb, benjamin a. christie, dylan p. losey","robotics (cs.ro)","assistive robot arms can help humans by partially automating their desired tasks. consider an adult with motor impairments controlling an assistive robot arm to eat dinner. the robot can reduce the number of human inputs -- and how precise those inputs need to be -- by recognizing what the human wants (e.g., a fork) and assisting for that task (e.g., moving towards the fork). prior research has largely focused on learning the human's task and providing meaningful assistance. but as the robot learns and assists, we also need to ensure that the human understands the robot's intent (e.g., does the human know the robot is reaching for a fork?). in this paper, we study the effects of communicating learned assistance from the robot back to the human operator. we do not focus on the specific interfaces used for communication. instead, we develop experimental and theoretical models of a) how communication changes the way humans interact with assistive robot arms, and b) how robots can harness these changes to better align with the human's intent. we first conduct online and in-person user studies where participants operate robots that provide partial assistance, and we measure how the human's inputs change with and without communication. with communication, we find that humans are more likely to intervene when the robot incorrectly predicts their intent, and more likely to release control when the robot correctly understands their task. we then use these findings to modify an established robot learning algorithm so that the robot can correctly interpret the human's inputs when communication is present. our results from a second in-person user study suggest that this combination of communication and learning outperforms assistive systems that isolate either learning or communication.",2024-03-18
"101",101,"identifiability and observability of nonsmooth systems via taylor-like approximations","peter stechlinski, sameh eisa, hesham abdelfattah","optimization and control (math.oc)","new sensitivity-based methods are developed for determining identifiability and observability of nonsmooth input-output systems. more specifically, lexicographic calculus is used to construct nonsmooth sensitivity rank condition (serc) tests, which we call lexicographic serc (l-serc) tests. the introduced l-serc tests are: (i) practically implementable and amenable to large-scale problems; (ii) accurate since they directly treat the nonsmoothness while avoiding, e.g., smoothing approximations; and (iii) analogous to (and indeed recover) their smooth counterparts. to accomplish this, a first-order taylor-like approximation theory is developed using lexicographic differentiation to directly treat nonsmooth functions. a practically implementable algorithm is proposed that determines partial structural identifiability or observability, a useful characterization in the nonsmooth setting. lastly, the theory is illustrated through an application in climate modeling.",2024-03-19
"102",102,"uoc luong kenh truyen trong he thong da robot su dung sdr","do hai son, nguyen huu hung, pham duy hung, tran thi thuy quynh","robotics (cs.ro)","this study focuses on developing an experimental system for estimating communication channels in a multi-robot mobile system using software-defined radio (sdr) devices. the system consists of two mobile robots programmed for two scenarios: one where the robot remains stationary and another where it follows a predefined trajectory. communication within the system is conducted through orthogonal frequency-division multiplexing (ofdm) to mitigate the effects of multipath propagation in indoor environments. the system's performance is evaluated using the bit error rate (ber). connections related to robot motion and communication are implemented using raspberry pi  and bladerf x, respectively. the least squares (ls) technique is employed to estimate the channel with a bit error rate of approximately ^(-).",2024-03-19
"103",103,"optimizing service placement in edge-to-cloud ar/vr systems using a multi-objective genetic algorithm","mohammadsadeq garshasbi herabad, javid taheri, bestoun s. ahmed, calin curescu","distributed, parallel, and cluster computing (cs.dc)","augmented reality (ar) and virtual reality (vr) systems involve computationally intensive image processing algorithms that can burden end-devices with limited resources, leading to poor performance in providing low latency services. edge-to-cloud computing overcomes the limitations of end-devices by offloading their computations to nearby edge devices or remote cloud servers. although this proves to be sufficient for many applications, optimal placement of latency sensitive ar/vr services in edge-to-cloud infrastructures (to provide desirable service response times and reliability) remain a formidable challenging. to address this challenge, this paper develops a multi-objective genetic algorithm (moga) to optimize the placement of ar/vr-based services in multi-tier edge-to-cloud environments. the primary objective of the proposed moga is to minimize the response time of all running services, while maximizing the reliability of the underlying system from both software and hardware perspectives. to evaluate its performance, we mathematically modeled all components and developed a tailor-made simulator to assess its effectiveness on various scales. moga was compared with several heuristics to prove that intuitive solutions, which are usually assumed sufficient, are not efficient enough for the stated problem. the experimental results indicated that moga can significantly reduce the response time of deployed services by an average of \% on different scales, compared to other heuristic methods. moga also ensures reliability of the \% infrastructure (hardware) and \% services (software).",2024-03-19
"104",104,"two-dimensional inference of divertor plasma characteristics: advancements to a multi-instrument bayesian analysis system","daniel greenhouse, chris bowman, bruce lipschultz, kevin verhaegh, james harrison, alexandre fil","plasma physics (physics.plasm-ph)","an integrated data analysis system based on bayesian inference has been developed for application to data from multiple diagnostics over the two-dimensional cross-section of tokamak divertors. tests of the divertor multi-instrument bayesian analysis system (d-mibas) on a synthetic data set (including realistic experimental uncertainties) generated from solps-iter predictions of the mast-u divertor have been performed. the resulting inference was within \%, \% and \% median absolute percentage error of the solps-predicted electron temperature, electron density and neutral atomic hydrogen density, respectively, across a two-dimensional poloidal cross-section of the mast-u super-x outer divertor.
to accommodate molecular contributions to balmer emission, an advanced emission model has been developed which is shown to be crucial for inference accuracy. our d-mibas system utilises a mesh aligned to poloidal magnetic flux-surfaces, throughout the divertor, with plasma parameters assigned to each mesh vertex and collectively considered in the inference. this allowed comprehensive forward models to multiple diagnostics and the inclusion of expected physics. this is shown to be important for inference precision when including molecular contributions to balmer emission. these developments pave the way for accurate two-dimensional electron temperature, electron density and neutral atomic hydrogen density inferences for mast-u divertor experimental data for the first time.",2024-03-19
"105",105,"knowledge and data dual-driven channel estimation and feedback for ultra-massive mimo systems under hybrid field beam squint effect","kuiyu wang, zhen gao, sheng chen, boyu ning, gaojie chen, yu su, zhaocheng wang, h. vincent poor","information theory (cs.it)","acquiring accurate channel state information (csi) at an access point (ap) is challenging for wideband millimeter wave (mmwave) ultra-massive multiple-input and multiple-output (ummimo) systems, due to the high-dimensional channel matrices, hybrid near- and far- field channel feature, beam squint effects, and imperfect hardware constraints, such as low-resolution analog-to-digital converters, and in-phase and quadrature imbalance. to overcome these challenges, this paper proposes an efficient downlink channel estimation (ce) and csi feedback approach based on knowledge and data dual-driven deep learning (dl) networks. specifically, we first propose a data-driven residual neural network de-quantizer (resnet-dq) to pre-process the received pilot signals at user equipment (ues), where the noise and distortion brought by imperfect hardware can be mitigated. a knowledge-driven generalized multiple measurement vector learned approximate message passing (gmmv-lamp) network is then developed to jointly estimate the channels by exploiting the approximately same physical angle shared by different subcarriers. in particular, two wideband redundant dictionaries (wrds) are proposed such that the measurement matrices of the gmmv-lamp network can accommodate the far-field and near-field beam squint effect, respectively. finally, we propose an encoder at the ues and a decoder at the ap by a data-driven csi residual network (csi-resnet) to compress the csi matrix into a low-dimensional quantized bit vector for feedback, thereby reducing the feedback overhead substantially. simulation results show that the proposed knowledge and data dual-driven approach outperforms conventional downlink ce and csi feedback methods, especially in the case of low signal-to-noise ratios.",2024-03-19
